condition,target_name,spec_method,k,mode,batch_size,tar,mean_accepted_length,throughput_tps,speedup_ratio
baseline,Qwen3.5-27B,none,0,standard,1,,,20.99,1.0
baseline,Qwen3.5-27B,none,0,standard,4,,,45.89,1.0
baseline,Qwen3.5-27B,none,0,standard,8,,,76.29,1.0
baseline,Qwen3.5-27B,none,0,standard,16,,,122.44,1.0
K1,Qwen3.5-27B,mtp,1,standard,1,0.9431,1.943,31.74,1.5121486422105765
K1,Qwen3.5-27B,mtp,1,standard,4,0.9427,1.943,71.46,1.5572020047940727
K1,Qwen3.5-27B,mtp,1,standard,8,0.9416,1.942,120.0,1.5729453401494298
K1,Qwen3.5-27B,mtp,1,standard,16,0.9429,1.943,193.63,1.5814276380267887
K2,Qwen3.5-27B,mtp,2,standard,1,0.8867,2.773,43.0,2.048594568842306
K2,Qwen3.5-27B,mtp,2,standard,4,0.8868,2.774,99.07,2.1588581390281107
K2,Qwen3.5-27B,mtp,2,standard,8,0.8886,2.777,168.53,2.2090706514615284
K2,Qwen3.5-27B,mtp,2,standard,16,0.8886,2.777,264.07,2.156729826853969
K3,Qwen3.5-27B,mtp,3,standard,1,0.8242,3.473,54.62,2.6021915197713197
K3,Qwen3.5-27B,mtp,3,standard,4,0.8252,3.476,127.87,2.786445848768795
K3,Qwen3.5-27B,mtp,3,standard,8,0.8288,3.487,206.01,2.7003539127015332
K3,Qwen3.5-27B,mtp,3,standard,16,0.8274,3.482,312.63,2.553332244364587
K4,Qwen3.5-27B,mtp,4,standard,1,0.758,4.032,60.52,2.883277751310148
K4,Qwen3.5-27B,mtp,4,standard,4,0.7539,4.016,137.06,2.9867073436478537
K4,Qwen3.5-27B,mtp,4,standard,8,0.7569,4.027,224.36,2.9408834709660505
K4,Qwen3.5-27B,mtp,4,standard,16,0.761,4.044,341.07,2.785609278013721
K6,Qwen3.5-27B,mtp,6,standard,1,0.6408,4.845,36.24,1.726536445926632
K6,Qwen3.5-27B,mtp,6,standard,4,0.6352,4.811,83.01,1.8088908258879932
K6,Qwen3.5-27B,mtp,6,standard,8,0.6395,4.837,139.57,1.8294665093721325
K6,Qwen3.5-27B,mtp,6,standard,16,0.6427,4.856,233.01,1.9030545573342044
baseline_moe,Qwen3.5-35B-A3B,none,0,standard,1,,,10.33,1.0
baseline_moe,Qwen3.5-35B-A3B,none,0,standard,4,,,22.34,1.0
baseline_moe,Qwen3.5-35B-A3B,none,0,standard,8,,,35.29,1.0
baseline_moe,Qwen3.5-35B-A3B,none,0,standard,16,,,57.93,1.0
M3,Qwen3.5-35B-A3B,mtp,3,standard,1,0.8011,3.403,27.89,2.6999031945788965
M3,Qwen3.5-35B-A3B,mtp,3,standard,4,0.7989,3.397,63.21,2.829453894359893
M3,Qwen3.5-35B-A3B,mtp,3,standard,8,0.7957,3.387,102.9,2.9158401813544916
M3,Qwen3.5-35B-A3B,mtp,3,standard,16,0.7941,3.382,170.83,2.9489038494735027
M3_think,Qwen3.5-35B-A3B,mtp,3,thinking,1,0.7842,3.352,27.7,2.681510164569216
M3_think,Qwen3.5-35B-A3B,mtp,3,thinking,4,0.7868,3.36,96.62,4.324977618621308
M3_think,Qwen3.5-35B-A3B,mtp,3,thinking,8,0.7798,3.34,184.23,5.220459053556248
M3_think,Qwen3.5-35B-A3B,mtp,3,thinking,16,0.7776,3.333,341.62,5.8971172104263765
