model,ngl,gamma,task,thinking_mode,prompt_idx,accept_pct,n_drafted,n_accepted
14b,99,10,chat,nothink,0,25.034,1490,373
14b,99,10,chat,nothink,1,22.0,1600,352
14b,99,10,chat,nothink,2,19.653,1730,340
14b,99,10,chat,nothink,3,21.28,1640,349
14b,99,10,chat,nothink,4,18.453,1810,334
14b,99,10,chat,nothink,5,18.764,1780,334
14b,99,10,chat,nothink,6,72.581,620,450
14b,99,10,chat,nothink,7,98.125,480,471
14b,99,10,chat,nothink,8,21.646,1640,355
14b,99,10,chat,nothink,9,21.534,1630,351
14b,99,10,chat,think,0,25.517,1450,370
14b,99,10,chat,think,1,23.882,1520,363
14b,99,10,chat,think,2,16.122,1960,316
14b,99,10,chat,think,3,18.033,1830,330
14b,99,10,chat,think,4,22.562,1600,361
14b,99,10,chat,think,5,18.444,1800,332
14b,99,10,chat,think,6,22.39,1590,356
14b,99,10,chat,think,7,15.859,1980,314
14b,99,10,chat,think,8,18.297,1820,333
14b,99,10,chat,think,9,20.719,1670,346
14b,99,10,code,nothink,0,21.605,1620,350
14b,99,10,code,nothink,1,39.709,1030,409
14b,99,10,code,nothink,2,23.595,1530,361
14b,99,10,code,nothink,3,37.407,1080,404
14b,99,10,code,nothink,4,37.593,1080,406
14b,99,10,code,nothink,5,21.446,1660,356
14b,99,10,code,nothink,6,35.0,1140,399
14b,99,10,code,nothink,7,30.96,1250,387
14b,99,10,code,nothink,8,90.0,520,468
14b,99,10,code,nothink,9,21.852,1620,354
14b,99,10,code,think,0,20.294,1700,345
14b,99,10,code,think,1,35.0,1140,399
14b,99,10,code,think,2,34.912,1140,398
14b,99,10,code,think,3,24.497,1490,365
14b,99,10,code,think,4,23.032,1550,357
14b,99,10,code,think,5,22.405,1580,354
14b,99,10,code,think,6,30.078,1280,385
14b,99,10,code,think,7,23.856,1530,365
14b,99,10,code,think,8,55.19,790,436
14b,99,10,code,think,9,49.655,870,432
14b,99,10,reasoning,nothink,0,44.468,940,418
14b,99,10,reasoning,nothink,1,31.532,1240,391
14b,99,10,reasoning,nothink,2,45.319,940,426
14b,99,10,reasoning,nothink,3,28.496,1330,379
14b,99,10,reasoning,nothink,4,48.182,880,424
14b,99,10,reasoning,nothink,5,37.273,1100,410
14b,99,10,reasoning,nothink,6,26.454,1410,373
14b,99,10,reasoning,nothink,7,75.574,610,461
14b,99,10,reasoning,nothink,8,34.138,1160,396
14b,99,10,reasoning,nothink,9,42.653,980,418
14b,99,10,reasoning,think,0,54.25,800,434
14b,99,10,reasoning,think,1,45.161,930,420
14b,99,10,reasoning,think,2,47.778,900,430
14b,99,10,reasoning,think,3,24.362,1490,363
14b,99,10,reasoning,think,4,43.333,960,416
14b,99,10,reasoning,think,5,28.571,1330,380
14b,99,10,reasoning,think,6,31.36,1250,392
14b,99,10,reasoning,think,7,32.049,1220,391
14b,99,10,reasoning,think,8,34.522,1150,397
14b,99,10,reasoning,think,9,41.188,1010,416
14b,99,4,chat,nothink,0,45.604,728,332
14b,99,4,chat,nothink,1,43.085,376,162
14b,99,4,chat,nothink,2,39.125,800,313
14b,99,4,chat,nothink,3,36.019,844,304
14b,99,4,chat,nothink,4,41.321,772,319
14b,99,4,chat,nothink,5,39.975,788,315
14b,99,4,chat,nothink,6,43.85,748,328
14b,99,4,chat,nothink,7,39.899,792,316
14b,99,4,chat,nothink,8,45.467,728,331
14b,99,4,chat,nothink,9,41.667,768,320
14b,99,4,chat,think,0,39.975,788,315
14b,99,4,chat,think,1,38.806,804,312
14b,99,4,chat,think,2,41.797,768,321
14b,99,4,chat,think,3,42.188,768,324
14b,99,4,chat,think,4,48.994,696,341
14b,99,4,chat,think,5,39.646,792,314
14b,99,4,chat,think,6,43.617,752,328
14b,99,4,chat,think,7,43.583,748,326
14b,99,4,chat,think,8,40.306,784,316
14b,99,4,chat,think,9,43.218,752,325
14b,99,4,code,nothink,0,56.171,632,355
14b,99,4,code,nothink,1,52.259,664,347
14b,99,4,code,nothink,2,54.814,644,353
14b,99,4,code,nothink,3,51.19,672,344
14b,99,4,code,nothink,4,65.78,564,371
14b,99,4,code,nothink,5,63.621,580,369
14b,99,4,code,nothink,6,46.111,720,332
14b,99,4,code,nothink,7,56.688,628,356
14b,99,4,code,nothink,8,60.265,604,364
14b,99,4,code,nothink,9,68.431,548,375
14b,99,4,code,think,0,48.295,704,340
14b,99,4,code,think,1,54.658,644,352
14b,99,4,code,think,2,47.316,708,335
14b,99,4,code,think,3,51.183,676,346
14b,99,4,code,think,4,51.183,676,346
14b,99,4,code,think,5,44.324,740,328
14b,99,4,code,think,6,49.419,688,340
14b,99,4,code,think,7,51.183,676,346
14b,99,4,code,think,8,43.449,748,325
14b,99,4,code,think,9,84.11,472,397
