condition,model,ngl,gamma,n_prompt,n_gen,n_gpu_layers,avg_ts,stddev_ts,median_ts,samples_ts,n_samples,mean_accept_pct,baseline_ts,speedup_ratio
spec,14b,99,10.0,,,,51.604,4.866054541412375,51.0,"[45.753, 51.0, 46.943, 57.54, 56.784]",5,21.9334,53.1011,0.9604320814446404
spec,14b,99,4.0,,,,56.924800000000005,1.1131861299890493,56.758,"[55.548, 58.894, 57.102, 56.322, 56.758]",5,42.35959999999999,53.1011,1.0688667466399002
spec,14b,99,6.0,,,,48.317600000000006,3.726737908680994,48.773,"[51.954, 43.459, 44.694, 52.708, 48.773]",5,36.969,53.1011,0.9184932138882246
spec,14b,99,8.0,,,,53.552600000000005,3.9769543422071103,52.443,"[52.443, 50.7, 61.241, 50.337, 53.042]",5,24.9812,53.1011,0.9876066597490447
spec,32b,0,10.0,,,,1.2912,0.07824423301432507,1.299,"[1.254, 1.171, 1.299, 1.324, 1.408]",5,21.3832,1.3155,0.9874572405929305
spec,32b,0,4.0,,,,1.7358,0.09427703856188956,1.734,"[1.734, 1.583, 1.7, 1.802, 1.86]",5,39.845,1.3155,1.3181299885974915
spec,32b,0,6.0,,,,1.5528,0.10045974318103747,1.546,"[1.714, 1.454, 1.546, 1.606, 1.444]",5,32.589800000000004,1.3155,1.175218548080578
spec,32b,0,8.0,,,,1.3436000000000001,0.07501093253653099,1.312,"[1.306, 1.268, 1.485, 1.347, 1.312]",5,25.662599999999998,1.3155,0.9973394146712278
spec,32b,16,10.0,,,,1.5964000000000003,0.10191094151267564,1.571,"[1.79, 1.491, 1.571, 1.546, 1.584]",5,19.594399999999997,1.76613,0.8895154943294095
spec,32b,16,4.0,,,,2.6496000000000004,0.16348895987191303,2.662,"[2.536, 2.444, 2.928, 2.662, 2.678]",5,42.181,1.76613,1.5072503156619275
spec,32b,16,6.0,,,,2.299,0.17921718667583197,2.371,"[2.406, 2.304, 1.955, 2.371, 2.459]",5,33.1836,1.76613,1.3424832826575621
spec,32b,16,8.0,,,,2.039,0.14433433409968682,2.011,"[2.011, 1.88, 2.09, 1.925, 2.289]",5,27.550400000000003,1.76613,1.1386477779098934
spec,32b,32,10.0,,,,2.4581999999999997,0.21996126931803248,2.524,"[2.749, 2.587, 2.119, 2.524, 2.312]",5,21.611199999999997,2.57951,0.9784804090699396
spec,32b,32,4.0,,,,3.9372,0.1715592026094782,3.837,"[3.837, 3.736, 4.128, 3.828, 4.157]",5,45.3522,2.57951,1.4874918104601262
spec,32b,32,6.0,,,,3.1564,0.06432604449210295,3.169,"[3.22, 3.169, 3.061, 3.106, 3.226]",5,31.914599999999997,2.57951,1.2285278987094448
spec,32b,32,8.0,,,,2.7104,0.20624897575503254,2.624,"[2.624, 3.012, 2.871, 2.428, 2.617]",5,24.5264,2.57951,1.0172474617272274
spec,32b,48,10.0,,,,4.479,0.3897234917220157,4.216,"[4.216, 4.617, 4.187, 5.187, 4.188]",5,21.9236,4.46607,0.9440066994023829
spec,32b,48,4.0,,,,6.267799999999999,0.5127148915332966,6.08,"[5.869, 6.466, 5.753, 6.08, 7.171]",5,40.131,4.46607,1.3613758852861688
spec,32b,48,6.0,,,,5.5494,0.27339100204651945,5.698,"[5.627, 5.705, 5.006, 5.711, 5.698]",5,32.0538,4.46607,1.2758420714408865
spec,32b,48,8.0,,,,4.9588,0.28257629058362277,4.923,"[4.512, 5.261, 4.836, 4.923, 5.262]",5,25.401400000000002,4.46607,1.1023114281683897
spec,32b,64,10.0,,,,23.000600000000002,2.0282472827542506,22.548,"[22.548, 23.6, 26.602, 21.198, 21.055]",5,21.001800000000003,18.9257,1.1913958268386373
spec,32b,64,4.0,,,,25.2316,0.5506296759165823,25.201,"[26.228, 25.284, 24.699, 25.201, 24.746]",5,41.81779999999999,18.9257,1.3315755824091051
spec,32b,64,6.0,,,,19.898199999999996,1.2930969646550103,20.16,"[20.793, 21.259, 19.751, 20.16, 17.528]",5,32.2292,18.9257,1.065218195363976
spec,32b,64,8.0,,,,24.893,2.200181356161351,23.807,"[23.807, 25.086, 29.039, 23.77, 22.763]",5,25.743600000000004,18.9257,1.2579191258447509
